Mayfair;Location;City;Mayfair
Grandrun;Location;City;Grandrun
Neverre;Location;City;Neverre
Borealis;Location;City;Borealis
Yes;Other;true;
No;Other;false;
Karl;Name;;
Fiona;Name;;
Schubert;Name;;
Rebecca;Name;;
Father;Name;;
Mother;Name;;
Brother;Name;;
Family;Name;;
Esther;Name;;
Mukhosha;Item;;
Oranges;Item;;
Melons;Item;;
Good;Adjective;positive;
Nice;Adjective;positive;
Beautiful;Adjective;positive;
Great;Adjective;positive;
Cool;Adjective;positive;
Bad;Adjective;negative;
Ugly;Adjective;negative;
Boring;Adjective;negative;
Okay;Adjective;neutral;
Fine;Adjective;neutral;
Mediocre;Adjective;neutral;
Interesting;Adjective;positive;
